accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
KP748787	UNVERIFIED: Uncultured fungus clone OR2 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748788	UNVERIFIED: Uncultured fungus clone RE12 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748808	UNVERIFIED: Uncultured fungus clone RE6 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
PV030905	Streptomyces sp. strain CALA1 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		CALA1											
LT903670	Micromonospora echinospora partial GH18 gene for family 18 chitinase, Partial , isolate isolate#C33	Micromonospora echinospora	1877	1;131567;2;1783272;201174;1760;85008;28056;1873;1877					false											isolate#C33										PRJEB21831		
PV030900	Streptomyces sp. strain RVRA4 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		RVRA4											
PV030899	Streptomyces sp. strain RRRA1 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		RRRA1											
AY325607	Uncultured bacterium clone GH18 putative dissimilatory membrane-bound nitrate reductase (narG) gene, partial cds.	uncultured bacterium	77133	1;131567;2;48479;77133				soil	true																							
KM221026	Beauveria bassiana strain ARSEF 2860 glycoside hydrolase family 18 (GH18-1) mRNA, complete cds.	Beauveria bassiana	176275	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474943;5581;176275					false												ARSEF 2860											
GU211335	Cellulosilyticum ruminicola strain CGMCC 1.5065 clone CGSCsYakCAS_02135 gh18 chitinase-like domain gene, partial cds.	Cellulosilyticum ruminicola	425254	1;131567;2;1783272;1239;186801;3085636;3018741;698776;425254				rumen	false	yak											CGMCC 1.5065											
DQ449732	Leishmania infantum strain MHOM/GR/2003/GH18 cytosolic NADP-malic enzyme (me) gene, partial cds.	Leishmania infantum	5671	1;131567;2759;2611352;33682;5653;2704647;2704949;5654;1286322;5658;38568;38574;5671	Greece				false	Homo sapiens	9606						2003	2003-01-01	2003-12-31	GH18	MHOM/GR/2003/GH18											
